scenario_id,category,expected_destination,system,source,success,final_position,goal_conditions_met,goal_conditions_total,plan_generated,num_plan_actions,num_executable_actions,replanning_triggered,replanning_succeeded,llm_call_count,total_input_tokens,total_output_tokens,reasoning_time_s,locomotion_time_s,perception_time_s,end_to_end_time_s,graceful_failure,failure_reason,notes
s01,object_search,R2,rule_based,fresh_run,False,R2,1,2,R3->D3->R2,3,3,False,,0,0,0,0.0,50.84626388549805,1.9550323486328125e-05,50.84636902809143,True,goal_conditions_partial,matched_keyword=hammer; task_type=object_retrieve
s02,object_search,R2,rule_based,fresh_run,False,R2,2,3,R3->D3->R2,3,3,False,,0,0,0,0.0,55.07800769805908,7.152557373046875e-07,55.07809591293335,True,goal_conditions_partial,matched_keyword=hammer; task_type=object_retrieve
s03,semantic,R2,rule_based,fresh_run,True,R2,1,1,R3->D4->C->D1->R1->D2->R2,7,7,False,,0,0,0,0.0,288.4518280029297,1.3828277587890625e-05,288.45195293426514,True,,matched_keyword=screw; task_type=object_retrieve
s04,dynamic_constraint,R2,rule_based,fresh_run,True,R3,1,1,PATH_BLOCKED,0,0,False,,0,0,0,0.0,0.0,0.0,6.413459777832031e-05,True,,matched_keyword=hammer; task_type=object_retrieve
s05,object_search,R2,rule_based,fresh_run,False,R2,1,2,R3->D3->R2,3,3,False,,0,0,0,0.0,63.9361572265625,1.9073486328125e-06,63.93624973297119,True,goal_conditions_partial,matched_keyword=allen key; task_type=object_retrieve
s06,semantic,R1,rule_based,fresh_run,True,R1,1,1,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,276.16598534584045,7.152557373046875e-06,276.1661024093628,True,,matched_keyword=sink; task_type=goto
s07,question_answering,,rule_based,fresh_run,False,R1,0,1,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,104.28258800506592,5.0067901611328125e-06,104.28268480300903,True,goal_conditions_partial,matched_keyword=study area; task_type=goto
s08,object_search,R1,rule_based,fresh_run,False,R1,1,2,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,89.75104594230652,7.867813110351562e-06,89.75125122070312,True,goal_conditions_partial,matched_keyword=study area; task_type=goto
s09,object_search,R3,rule_based,fresh_run,False,R3,1,2,R3,1,1,False,,0,0,0,0.0,0.0,0.0,9.417533874511719e-05,True,goal_conditions_partial,matched_keyword=plc; task_type=object_retrieve
s10,semantic,R2,rule_based,fresh_run,True,R2,1,1,R3->D3->R2,3,3,False,,0,0,0,0.0,39.132871866226196,9.5367431640625e-07,39.13296031951904,True,,matched_keyword=power supply; task_type=inform
